Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ENDE,NTT,14/12/2021,275223,273,1599,1599,5.809834,0.062539,585.7142857142857,3.45005149330587
ENREKANG,SULAWESI SELATAN,14/12/2021,209974,210,1121,722,5.338756,0.0,533.8095238095237,0.4484304932735426
FAK FAK,PAPUA BARAT,14/12/2021,81274,84,1459,1457,17.95162,0.0,1736.904761904762,3.3201189296333005
FLORES TIMUR,NTT,14/12/2021,259828,259,1243,877,4.783934,0.241352,479.92277992277997,6.842105263157896
GARUT,JAWA BARAT,14/12/2021,2644843,2646,8169,6658,3.088652,0.122414,308.73015873015873,2.2807906741003547
GAYO LUES,ACEH,14/12/2021,95041,98,71,7,0.747046,0.0,72.44897959183673,6.451612903225806
GIANYAR,BALI,14/12/2021,523561,525,3266,14902,6.238051,0.030618,622.0952380952381,2.6218001651527665
GORONTALO,GORONTALO,14/12/2021,375904,5642,1734,1566,4.61288,0.11534,30.733782346685572,2.1433850702143387
GORONTALO UTARA,GORONTALO,14/12/2021,112303,1687,552,421,4.915274,0.362319,32.720806164789565,4.96969696969697
GOWA,SULAWESI SELATAN,14/12/2021,780138,777,3888,3778,4.983734,0.02572,500.38610038610034,1.8603759110088225
GRESIK,JAWA TIMUR,14/12/2021,1342628,1344,6052,6540,4.507578,0.132188,450.2976190476191,1.4782608695652173
GROBOGAN,JAWA TENGAH,14/12/2021,1380198,1379,3343,3971,2.422116,0.149566,242.42204496011604,2.0335256938719426
GUNUNG MAS,KALIMANTAN TENGAH,14/12/2021,117920,119,439,208,3.722863,0.455581,368.9075630252101,1.9417475728155338
GUNUNGKIDUL,DI YOGYAKARTA,14/12/2021,767464,11515,2657,1565,3.462052,0.225819,23.07425097698654,3.1378299120234607
HALMAHERA BARAT,MALUKU UTARA,14/12/2021,118526,119,560,131,4.724702,0.0,470.5882352941177,0.0
HALMAHERA SELATAN,MALUKU UTARA,14/12/2021,236285,238,1546,2120,6.542946,0.258732,649.5798319327731,5.243958048335613
HALMAHERA TENGAH,MALUKU UTARA,14/12/2021,56883,56,511,221,8.983352,0.0,912.5,5.936675461741425
HALMAHERA TIMUR,MALUKU UTARA,14/12/2021,97407,98,307,55,3.151724,0.0,313.265306122449,6.993006993006993
HALMAHERA UTARA,MALUKU UTARA,14/12/2021,194985,196,964,1305,4.94397,0.0,491.83673469387753,2.4985473561882623
HULU SUNGAI SELATAN,KALIMANTAN SELATAN,14/12/2021,237240,238,905,879,3.814702,0.0,380.25210084033614,0.44326241134751776
HULU SUNGAI TENGAH,KALIMANTAN SELATAN,14/12/2021,271761,273,1021,820,3.756978,0.0,373.992673992674,4.038004750593824
HULU SUNGAI UTARA,KALIMANTAN SELATAN,14/12/2021,237582,238,437,352,1.839365,0.0,183.61344537815125,1.376936316695353
HUMBANG HASUNDUTAN,SUMATERA UTARA,14/12/2021,194355,2912,684,387,3.519333,0.0,23.48901098901099,2.644230769230769
INDRAGIRI HILIR,RIAU,14/12/2021,721862,721,1284,700,1.778733,0.077882,178.0859916782247,2.722323049001815
INDRAGIRI HULU,RIAU,14/12/2021,443650,6657,2404,1914,5.418686,0.0,36.11236292624305,0.8493353028064994
INDRAMAYU,JAWA BARAT,14/12/2021,1755685,1757,8367,6009,4.765661,0.107565,476.20944792259536,1.4405070584845865
INTAN JAYA,PAPUA,14/12/2021,51367,770,109,62,2.121985,0.0,14.155844155844155,0.0
JAYAPURA,PAPUA,14/12/2021,128462,1925,2125,5472,16.541857,0.094118,110.3896103896104,0.4720406681190995
JAYAWIJAYA,PAPUA,14/12/2021,210880,210,1678,2372,7.957132,0.059595,799.047619047619,0.5752212389380531
JEMBER,JAWA TIMUR,14/12/2021,2471542,37072,8740,9742,3.536254,0.06865,23.57574449719465,1.7465659965432547
JEMBRANA,BALI,14/12/2021,282023,280,2275,5146,8.066718,0.615385,812.5,3.222416812609457
JENEPONTO,SULAWESI SELATAN,14/12/2021,367160,364,1170,681,3.186622,0.08547,321.42857142857144,2.5405786873676783
JEPARA,JAWA TENGAH,14/12/2021,1283844,19257,2790,3052,2.173161,0.107527,14.488238043308927,0.9253671293502315
JOMBANG,JAWA TIMUR,14/12/2021,1274197,1274,5107,4146,4.008014,0.019581,400.86342229199374,11.459571938168848
KAIMANA,PAPUA BARAT,14/12/2021,64736,63,752,421,11.616411,0.0,1193.6507936507937,0.9228187919463088
KAMPAR,RIAU,14/12/2021,882785,882,2397,850,2.71527,0.0,271.7687074829932,3.026634382566586
KAPUAS,KALIMANTAN TENGAH,14/12/2021,363828,364,793,615,2.179601,0.0,217.85714285714283,1.1059907834101383
KAPUAS HULU,KALIMANTAN BARAT,14/12/2021,270058,273,771,588,2.854942,0.129702,282.4175824175824,2.6948989412897015
KARANGANYAR,JAWA TENGAH,14/12/2021,894948,13426,2137,2503,2.387848,0.280767,15.916877699985104,2.8010185522008
KARANGASEM,BALI,14/12/2021,420832,420,1746,2117,4.148924,0.171821,415.7142857142857,3.9052762775238885
KARAWANG,JAWA BARAT,14/12/2021,2359078,2359,8008,8439,3.394547,0.062438,339.4658753709199,2.768681155105686
KARIMUN,KEP. RIAU,14/12/2021,238149,238,1299,2058,5.454568,0.0,545.7983193277311,24.136363636363637
KARO,SUMATERA UTARA,14/12/2021,434246,434,1459,790,3.359847,0.411241,336.17511520737327,3.646112600536193
KATINGAN,KALIMANTAN TENGAH,14/12/2021,174887,2625,728,559,4.162688,0.0,27.73333333333333,2.2883295194508007
KAUR,BENGKULU,14/12/2021,123801,126,491,323,3.966042,0.0,389.6825396825397,1.0221465076660987
KAYONG UTARA,KALIMANTAN BARAT,14/12/2021,115291,112,388,243,3.365397,0.0,346.42857142857144,3.285420944558522
KEBUMEN,JAWA TENGAH,14/12/2021,1194517,1197,1495,2681,1.251552,0.133779,124.89557226399333,2.228244504667269
KEDIRI,JAWA TIMUR,14/12/2021,1587132,23807,7161,5416,4.511912,0.083787,30.07938841517201,5.7728741780898245
KEEROM,PAPUA,14/12/2021,58275,56,440,73,7.550408,0.0,785.7142857142857,0.6896551724137931
KENDAL,JAWA TENGAH,14/12/2021,977610,980,1523,2119,1.557881,0.393959,155.40816326530614,2.9219143576826196
KEPAHIANG,BENGKULU,14/12/2021,141592,140,520,321,3.672524,0.0,371.42857142857144,0.6259780907668232
KEPULAUAN ANAMBAS,KEP. RIAU,14/12/2021,43512,42,355,161,8.158669,0.0,845.2380952380953,1.2345679012345678
KEPULAUAN ARU,MALUKU,14/12/2021,94776,98,741,467,7.818435,0.0,756.1224489795918,0.22099447513812157
KEPULAUAN MENTAWAI,SUMATERA BARAT,14/12/2021,96893,98,446,531,4.603016,0.0,455.1020408163265,9.915966386554622
KEPULAUAN MERANTI,RIAU,14/12/2021,189093,189,462,187,2.443242,0.0,244.44444444444446,1.592920353982301
KEPULAUAN SANGIHE,SULAWESI UTARA,14/12/2021,132112,133,431,160,3.262383,0.0,324.0601503759398,0.3597122302158274
KEPULAUAN SELAYAR,SULAWESI SELATAN,14/12/2021,136118,133,813,684,5.972759,0.0,611.2781954887218,0.9221311475409836
KEPULAUAN SERIBU,DKI JAKARTA,14/12/2021,25721,28,191,30,7.425839,0.0,682.1428571428571,5.633802816901409
KEPULAUAN SULA,MALUKU UTARA,14/12/2021,101826,105,1300,1145,12.766877,0.0,1238.095238095238,4.758620689655172
KEPULAUAN TALAUD,SULAWESI UTARA,14/12/2021,93142,1400,422,150,4.530717,0.0,30.142857142857142,1.1784511784511784
KEPULAUAN TANIMBAR,MALUKU,14/12/2021,112630,112,1046,1,9.287046,0.0,933.9285714285713,0.1724137931034483
KEPULAUAN YAPEN,PAPUA,14/12/2021,98663,98,617,403,6.253611,0.0,629.5918367346939,0.9546539379474941
KERINCI,JAMBI,14/12/2021,239413,238,497,230,2.075911,0.0,208.82352941176472,2.26928895612708
KETAPANG,KALIMANTAN BARAT,14/12/2021,525879,525,2766,3809,5.259765,0.036153,526.8571428571429,0.6006790284669626
KLATEN,JAWA TENGAH,14/12/2021,1173555,1176,1566,2834,1.334407,0.127714,133.16326530612247,1.4202383971595232
KLUNGKUNG,BALI,14/12/2021,180713,182,1168,633,6.463287,0.171233,641.7582417582418,1.0718789407313998
KOLAKA,SULAWESI TENGGARA,14/12/2021,270274,4053,1294,1267,4.787734,0.0,31.92696767826301,2.159090909090909
KOLAKA TIMUR,SULAWESI TENGGARA,14/12/2021,140300,2107,431,230,3.071989,0.0,20.45562411010916,0.5736137667304015
KOLAKA UTARA,SULAWESI TENGGARA,14/12/2021,155568,154,553,337,3.554716,0.0,359.09090909090907,0.4784688995215311
KONAWE,SULAWESI TENGGARA,14/12/2021,249749,3745,1436,1608,5.749773,0.0,38.344459279038716,0.8869179600886918
KONAWE KEPULAUAN,SULAWESI TENGGARA,14/12/2021,33641,35,58,7,1.724087,0.0,165.71428571428572,0.0
