Tanggal,provinsi (plot_tk_kab),bps_province_id,name,bps_regency_id,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
2022-06-13,BENGKULU,17,KEPAHIANG,1708,142963,714,144,71,1.00725362506383,0.0,20.16806722689076,0.6211180124223602
2022-06-14,BENGKULU,17,KEPAHIANG,1708,142963,714,135,64,0.944300273497338,0.0,18.907563025210084,0.6622516556291391
2022-06-15,BENGKULU,17,KEPAHIANG,1708,142963,714,118,51,0.825388387205081,0.0,16.5266106442577,0.7575757575757576
2022-06-16,BENGKULU,17,KEPAHIANG,1708,142963,714,86,60,0.601554248302008,0.0,12.044817927170868,0.99009900990099
2022-06-13,BENGKULU,17,KOTA BENGKULU,1771,378815,378,657,1349,1.73435582012328,0.0,173.80952380952382,2.755453501722158
2022-06-14,BENGKULU,17,KOTA BENGKULU,1771,378815,378,656,1408,1.73171600913375,0.0,173.54497354497354,2.2701475595913734
2022-06-15,BENGKULU,17,KOTA BENGKULU,1771,378815,378,475,1037,1.25391022002825,0.0,125.66137566137566,2.5835866261398177
2022-06-16,BENGKULU,17,KOTA BENGKULU,1771,378815,378,510,1006,1.34630360466191,0.0,134.92063492063494,2.616279069767442
2022-06-13,BENGKULU,17,LEBONG,1707,117852,588,47,19,0.398805281200149,0.0,7.993197278911565,3.92156862745098
2022-06-14,BENGKULU,17,LEBONG,1707,117852,588,46,19,0.39032006245121,0.0,7.82312925170068,4.761904761904762
2022-06-15,BENGKULU,17,LEBONG,1707,117852,588,47,21,0.398805281200149,0.0,7.993197278911565,6.25
2022-06-16,BENGKULU,17,LEBONG,1707,117852,588,40,9,0.339408749957574,0.0,6.802721088435375,5.357142857142857
2022-06-13,BENGKULU,17,MUKO MUKO,1706,191000,952,77,20,0.403141361256545,0.0,8.088235294117647,6.896551724137931
2022-06-14,BENGKULU,17,MUKO MUKO,1706,191000,952,78,20,0.408376963350785,0.0,8.193277310924369,4.385964912280701
2022-06-15,BENGKULU,17,MUKO MUKO,1706,191000,952,79,21,0.413612565445026,0.0,8.298319327731091,2.727272727272727
2022-06-16,BENGKULU,17,MUKO MUKO,1706,191000,952,80,17,0.418848167539267,0.0,8.403361344537815,4.2105263157894735
2022-06-13,BENGKULU,17,REJANG LEBONG,1702,276578,1386,210,154,0.759279479929712,0.0,15.151515151515152,1.851851851851852
2022-06-14,BENGKULU,17,REJANG LEBONG,1702,276578,1386,213,159,0.770126329642994,0.0,15.367965367965366,1.7857142857142856
2022-06-15,BENGKULU,17,REJANG LEBONG,1702,276578,1386,212,159,0.7665107130719,0.0,15.295815295815297,1.9011406844106464
2022-06-16,BENGKULU,17,REJANG LEBONG,1702,276578,1386,120,57,0.433873988531264,0.0,8.658008658008658,3.4682080924855487
2022-06-13,BENGKULU,17,SELUMA,1705,200390,1001,161,80,0.803433305055142,0.0,16.083916083916083,1.6574585635359116
2022-06-14,BENGKULU,17,SELUMA,1705,200390,1001,161,80,0.803433305055142,0.0,16.083916083916083,2.185792349726776
2022-06-15,BENGKULU,17,SELUMA,1705,200390,1001,76,1,0.379260442137831,0.0,7.592407592407592,2.127659574468085
2022-06-16,BENGKULU,17,SELUMA,1705,200390,1001,83,1,0.414192324966316,0.0,8.291708291708291,2.0202020202020203
